CITING_STATE,CITED_STATE,count
SC,PA,2987
MN,IL,14046
KS,MN,962
CO,ID,543
DC,MA,258
NC,OR,874
IL,ND,417
KS,OK,558
IA,CO,703
NE,AZ,165
VT,TN,85
IA,WV,72
DC,NC,64
ID,NV,52
ID,KY,96
AL,HI,17
RI,NV,43
SC,AZ,408
IN,MA,4135
NE,GA,249
IL,NV,691
MO,DE,568
KY,DE,206
RI,GA,184
ME,AL,50
MO,MO,10586
OK,TX,11513
OH,CT,12547
VA,ME,120
CT,FL,4797
MS,MI,688
AK,CT,93
SC,SC,6604
MN,SD,166
SC,ME,82
LA,VT,45
ID,AR,62
MT,RI,13
US,CT,6
MI,AZ,2664
MI,OR,2048
GA,TX,4843
OK,ND,76
FL,TN,1481
IN,MD,1697
NJ,NE,456
MT,IL,508
AZ,WV,105
DC,KS,42
KS,UT,227
ME,KS,62
WA,ND,142
ID,AL,97
CA,HI,1048
RI,CA,3135
IL,OK,3360
CA,MN,29000
NJ,TN,2148
MO,TX,3210
MA,OR,2358
ND,OH,348
GA,MA,3885
OH,DE,3666
OR,IL,3765
NJ,AR,298
WA,AK,102
MO,NM,151
ND,TN,96
DE,SC,326
WY,DE,16
AZ,,33097
SC,,18584
,AZ,28791
,SC,11459
FL,CA,31338
IL,HI,334
AZ,TX,5135
MO,IL,6408
KS,CO,590
IA,IA,5438
CT,DE,1517
AZ,RI,331
NC,ME,228
AL,FL,1028
WA,CO,1898
MT,DE,27
IA,MO,753
WA,MT,142
WV,KY,154
TN,ND,71
WY,IA,43
US,WI,3
CA,US,18
NC,ND,67
VA,WA,1388
OR,OR,8417
NM,TX,1526
OK,GA,392
WI,NM,332
AZ,NC,901
SD,MI,260
NC,LA,558
PR,IN,37
NV,KS,91
CT,MT,125
NJ,HI,195
ME,OR,107
GU,MA,5
NH,WY,32
NE,AK,12
AK,UT,58
DC,ND,4
CT,NY,17819
NY,OH,22167
IN,MN,2793
WA,OK,1093
AK,MA,97
KS,MO,751
AZ,KY,295
HI,MN,135
ME,HI,11
HI,LA,49
IA,LA,217
VA,VT,158
AK,MT,13
SC,AK,30
AK,WV,10
AZ,MD,1952
MA,TN,1593
MN,VA,2513
VT,MI,511
AZ,AR,133
WA,NH,674
VT,NM,49
DE,OR,141
NM,NV,65
MO,UT,653
MT,AK,13
MS,VT,18
OH,MN,9007
ME,TX,464
IN,GA,897
MO,NC,902
CA,MO,9879
IA,CA,5529
NH,MI,1851
UT,DE,301
AR,IA,205
IA,AZ,569
ND,MD,62
OH,NH,1457
ME,MS,14
MD,WY,65
MS,WY,22
US,PA,4
,LA,11593
LA,,12816
AZ,HI,95
NY,KY,2321
IN,VT,142
KS,FL,927
IL,MD,5793
AK,NY,240
VA,NM,308
TX,ND,260
WY,VT,4
MD,NM,390
NJ,VT,458
RI,AL,85
AK,GA,31
TX,NV,578
VT,WA,224
DE,WY,20
MN,,79229
